Title,Author,Date,Rating,Content
Noa,Medical medium,Mar 4,5 Stars,"Hi, my name is Noah. I’m 10 turning 11 in six days. I’m a huge fan of yours and coming to the pizza party. I really hope I can see you there and plant Bass ever since I was sick and you really helped my mom heal. From her rash. Thank you.
🩷"
Are you sick or not,Meditate&Elevate,Feb 13,5 Stars,"If you’re sick then this is the right place to be, Anthony’s information is spot on. Listen to his podcasts, read his books, go to his website, watch his YouTube videos the information is everywhere and for free, no subscription no commercials. You can heal your chronic illness, a bold statement but you have nothing to lose only your life to gain, I know I have."
The guiding Light in a dark world,Rae444❤️,Jan 19,5 Stars,"MM podcast is absolutely amazing, accurate and enlightening. So much untampered information from SOC and Devine guidance packed in each episode and each MM book. Thank you."
Grateful,Gevaart,Jan 14,5 Stars,How do we stop evil and the parasite’s aka elites who create and carry out the evil on this planet? Because it needs to end. We talk about what is but it doesn’t need to be.
Magnificent Healer,SouthernGardener,12/29/2024,5 Stars,After 20+ years on my healing journey I found Anthony Williams. He is guided by the spirit of compassion and his remedies are by far the most powerful healing.  He’s the only healer that’s not in it for the money and truly brings you results. Buy his books follow his protocols and you will be saved.
The greatest of all time,Brittney Solomon,12/14/2024,5 Stars,These are the BEST podcasts you will ever listen to. Anthony William provides life saving information in them along with all the books he wrote. I implore anyone who is chronically ill on any level to listen to them because the details matter. The information when applied correctly will not only restore your health but ultimately give you your life back when everything else failed. It is the real deal and millions of people are healing or have already healed because of it. I am forever grateful for Anthony William and SOC! ❤️
I’m Healing on MM & SOC information,Star/Pepper❤️,12/07/2024,5 Stars,"Since implementing the information I’ve learned from Anthony Williams books, podcasts, spiritual guidance etc. My health has been improving. I don’t do everything he says. I do what I can manage and l feel the healing in my body. The spiritual part is very important and I know in my body and soul it definitely works God and our own bodies want us to heal as Anthony has said. I am very blessed and grateful."
Incredible!,Teg S.,12/06/2024,5 Stars,"I’ve seen every doctor there is trying to heal myself, but Anthony has helped me the most! His books are amazing!"
Truth speaker 🔈,mollayjo,12/06/2024,5 Stars,This podcast is an amazing resource for those that are struggling with health issues. I love listening to these podcasts to drill in the information I have read in the books. Thank you 🙏
Get to the point!,Tyler James2090,11/24/2024,2 Stars,There’s good information here but sometimes he gets in his ego and loves the sound of his voice to the point it’s hard to keep listening.
Love,Linda Clare,11/22/2024,5 Stars,"Hi Anthony
My sister and I live on opposite coasts.  Every once in a while we call each other to discuss your podcasts and every time we say “I love Anthony William”.  Your podcasts are so nourishing, comforting, and beautiful.  We feel your huge capacity for love and respond with a sense that we know you and love you even though we’ve never actually met you in person. Love always!  Linda and Teresa"
Best Health Info,carolyn.henry13,10/03/2024,5 Stars,"No ads, all true information from the divine source, information that actually works to heal the root cause of symptoms rather than just managing them. The meditations are soul healing and relaxing to listen to. Definitely worth listening to over and over again."
Most Important Podcast Out There 🙏,SKThoughts,09/25/2024,5 Stars,"Thank you Anthony and SOC for bringing this healing information to us. This is the most important podcast out there, the information helped bring me back to life, I listen to every single one, and have the info on when I drive, registering to all the invaluable information. God bless you Anthony, thank you SOC for finding Anthony and getting the message out there 🙏🫶"
I love medium,T🇱🇷,09/03/2024,5 Stars,Hi I’m 10 years old. I listen to your podcast all the time. My entire family even went plant base. and tell Kimberly to hang on and my family sending lots of love to her.🩷❤️
My favorite podcast!,Natibella4000,07/08/2024,5 Stars,"This is my favorite podcast ever! Love listening to the great talks on different health topics. I can find almost any type of health topic talk here. Thank you, Anthony for all you do!"
Get to the point!,Flamboy88,08/05/2024,3 Stars,"I feel like I’m listening to one of those infomercials on the internet. All my mind is doing is saying “get to the point!” This Andrew Hubermans opposite! Might have some good info, but oh my goodness. There comes a time when you just have to stop ranting and put together a 5 minute segment of valuable content."
Good podcast,TargetForTheWin,07/04/2024,5 Stars,AW and SOC PLEASE make a podcast on gardening and how you do gardening in your home garden. Next podcast idea. I seen some of your fruits and veggies that you’ve planted and would like to get some tips for organic high quality.
Your answers to healing !,GVLOUISE,06/23/2024,5 Stars,"What a blessing! These podcasts are so helpful, and a sigh of relief of the TRUE way to heal! It helped me through my darkest times in my healing journey! 
I can’t get enough of each show, and I learn something new and interesting every time I listen to a new episode."
A gift from God,Dorothy Sayer,06/18/2024,5 Stars,Please keep up the amazing work that you do. There are people like us who are so very grateful for you and your work. You have no idea how my life transformed because you shared the gift from Him. Thank you! No words can justify the gratitude I have for you.
♥️🙏🏼,LindaMiz,06/12/2024,5 Stars,"Truly a healer. An inspiration of health and positive energy. Love your books and recipes. See you at Erwhon if I can make it for your book signing and colab♥️♥️♥️
Grateful,
Linda"
Amazing!!!,iloveMMhealing,06/06/2024,5 Stars,His information has saved my life…twice.  I am forever grateful to Medical Medium for the information to truly heal. The list of symptoms I have healed from is staggering and the recipes are yummy.  Please read his books and listen to his Podcasts to help yourself feel better than you could ever imagine is possible!
